date;employee_title;employee_status;review_title;pros;cons
2021-09-21;HSE Coordinator;Former Employee, more than 8 years;Needs lots of improvement;"Highly paid and good brestige
";"Very thick layer of bearaucracy
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-17;Engineer II;Former Employee, more than 8 years;Good place to be if you want to make savings;"Good pay and benefits. Good vacation plan. Company pays for children to study abroad.
";"Company culture is toxic. Incompetent local management. Tribalism rampant.
"
2021-09-03;Anonymous;Current Employee;Great place to work;"Good work hours and great benefits
";"If you are not Saudi, upward mobility is limited.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-02;Petroleum Engineer;Former Employee;Good company;"Expensive experience Good Benefits work environment qualified supervisors job security
";"working hours medical insurance work environment housing facilities days off
"
2021-09-01;Anonymous;Former Employee, more than 5 years;Very good;"Good environment to work on
";"Pressure and lot of works
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-14;Analyst;Current Employee;great company;"Relaxed job, good pay, great facilities
";"Too relaxed, good for retirement. Join before death
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-15;Control Systems Engineer;Current Employee, more than 3 years;Narcistic and Ridden with Bureaucracy;"- Work-life balance is very good in non-industrial departments - Good salary - Nice campus
";"- No career development - Managers have very high authority - Performance review system can be very unfair - Simple things many times require upper management approval - This company loves itself, its reputation and expects employees to be grateful for being allowed into their offices. - Upper management are glorified.
"
2021-08-30;Reliability Engineer;Current Employee, more than 8 years;Reliability engineer in mavchanichal and rotating equipment;"Medical assurance, housing, car, thrift plan, flight tickets, compounds.
";"No cons no cons no cons no cons
"
2021-08-30;Mechanical Site Engineer;Current Employee;Greatest;"Pays well on time and great job
";"Too much pressure from supervisor
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-30;Anonymous;Former Employee, more than 1 year;Great!!;"Great environment and nice staff.
";"Not flexible shifts and wage is minimum.
"
2021-09-12;Mechanical Engineer;Current Employee, more than 5 years;Burn(ing) out;"1. Good salary 2. Ample vacation time (especially if your coming from America) 3. Job security (if your a Saudi) I’m not an expat but I would say aramco is pretty great for late career expats.
";"1. Locals will be privileged. Expats will go nowhere from their hired positions. 2. Workload /responsibilities/documentation exponentially increased in the past 5 years, especially if your a plant engineer. The amount of documentation, double checking, overlapping initiatives/systems eat your time and resources from more pressing matters. 3. No accountability or initiative, if your the engineer your going to have to tell your maintenance/planners every dot iota before they do anything. What I mean is your going to have to do part of their work before anything really gets going. If you don’t do this constant following up and handholding, after you’ve done your part, you will be blamed for the item not getting finished. 4. Forced ranking system is applied during evaluation, opaque expectations from management. Whatever management told you at the beginning of the year doesn’t mean they don’t have their separate criteria that your unaware of. Unless your an absolute star 💫 of an engineer , what will matter is how often you did presentations in front of management. If you handle ABCD and they want to say no they’ll cite an EFGH and that literally could be anything, could be as minor as not riding the company bus enough. De-prioritizing doing the job and prioritising presentations will land you better evaluations. This is very difficult when your a plant engineer handling daily activities and concerns. Management kinda assumes your doing the basic duties anyways, so rewards presentations and such activities, but will not if your the one or one of two guys handling whole systems of the plant. +privilege, if you have the right last family names, you’ll just so happen to ‘get along’ better with upper management. I do not want to say that it’s a sole determining driver in evaluations, it’s not. It’s more like this is the equivalent of ‘white privilege’ in America. Things will just so happen to go easier for you and more opportunities will open up as well. 5. When everything is a priority 1, nothing really is. More landmines to get dinged by whenever the umpteenth priority 1 item simply can’t be dealt with in the expected manner - time and qualitatively comprehensively. The priority changes on a daily basis at any given hour sometimes even 2-3 times a day.
"
2021-09-12;Business Analyst;Former Employee, more than 5 years;Good package for long-term career, bad for progression;"Depending on where you are, you can have a pleasant experience
";"hierarchy, limited career options for vertical or horizontal movement, you are under your manager's mercy
"
2021-08-27;Reservoir Engineer;Current Employee, more than 1 year;Good salary benefit but stressfull environment;"Religious, biggest oil company, stability, salary benefit
";"Micro management, internal competition, political within department, stressfull working environment
"
2021-08-27;Chief Executive Officer/General Manager;Current Employee;Good big company good pay facilities;"Organized, good company, quality training
";"Many systems, many remote locations
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-23;Field Engineer;Former Employee;All good;"Good environment and benefits also working with different people from different backgrounds.
";"You might be limited to oil and gas companies
"
